# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
eine bisschen zu windig	6	
eine bisschen zu unkritisch	6	
eine bisschen zu ungestüm	6	
eine bisschen zu undeutlich	6	
eine bisschen zu trivial	6	
eine bisschen zu trashig	6	
eine bisschen zu traditionell	6	
eine bisschen zu technisch	6	
eine bisschen zu subjektiv	6	
eine bisschen zu streberisch	6	
eine bisschen zu stolz	6	
eine bisschen zu statisch	6	
eine bisschen zu selbstverständlich	6	
eine bisschen zu romantisch	6	
eine bisschen zu realistisch	6	
eine bisschen zu real	6	
eine bisschen zu rabiat	6	
eine bisschen zu prollig	6	
eine bisschen zu pink	6	
eine bisschen zu normal	6	
eine bisschen zu nachlässig	6	
eine bisschen zu kostspielig	6	
eine bisschen zu knallig	6	
eine bisschen zu klug	6	
eine bisschen zu klinisch	6	
eine bisschen zu kleinlich	6	
eine bisschen zu ironisch	6	
eine bisschen zu idealistisch	6	
eine bisschen zu harmonisch	6	
eine bisschen zu gierig	6	
eine bisschen zu gemütlich	6	
eine bisschen zu gemein	6	
eine bisschen zu frei	6	
eine bisschen zu entspannt	6	
eine bisschen zu enthusiastisch	6	
eine bisschen zu ehrlich	6	
eine bisschen zu dürftig	6	
eine bisschen zu braun	6	
eine bisschen zu ausgiebig	6	
eine bisschen zu aktiv	6	
ein bisschen zu wuchtig	6	
ein bisschen zu vorsichtig	6	
ein bisschen zu sicher	6	
ein bisschen zu plötzlich	6	
ein bisschen zu plakativ	6	
ein bisschen zu pauschal	6	
ein bisschen zu offensiv	6	
ein bisschen zu nett	6	
ein bisschen zu lieb	6	
ein bisschen zu künstlich	6	
ein bisschen zu heiß	6	
ein bisschen zu genau	6	
eins bisschen zu stark	5	
eins bisschen zu lang	5	
eins bisschen zu kurz	5	
eine bisschen zu überheblich	5	
eine bisschen zu zufällig	5	
eine bisschen zu verwöhnt	5	
eine bisschen zu verworren	5	
eine bisschen zu verschachtelt	5	
eine bisschen zu unscharf	5	
eine bisschen zu unheimlich	5	
eine bisschen zu unglaubwürdig	5	
eine bisschen zu unfair	5	
eine bisschen zu traurig	5	
eine bisschen zu theoretisch	5	
eine bisschen zu süßlich	5	
eine bisschen zu spontan	5	
eine bisschen zu spartanisch	5	
eine bisschen zu selten	5	
eine bisschen zu selbständig	5	
eine bisschen zu schwerfällig	5	
eine bisschen zu pingelig	5	
eine bisschen zu patriotisch	5	
eine bisschen zu paranoid	5	
eine bisschen zu orange	5	
eine bisschen zu mäßig	5	
eine bisschen zu mutig	5	
eine bisschen zu moralisch	5	
eine bisschen zu mickrig	5	
eine bisschen zu martialisch	5	
eine bisschen zu keck	5	
eine bisschen zu intellektuell	5	
eine bisschen zu gutmütig	5	
eine bisschen zu gewöhnlich	5	
eine bisschen zu gefällig	5	
eine bisschen zu feige	5	
eine bisschen zu farblos	5	
eine bisschen zu exotisch	5	
eine bisschen zu erfolgreich	5	
eine bisschen zu eitel	5	
eine bisschen zu dominant	5	
eine bisschen zu brisant	5	
eine bisschen zu banal	5	
eine bisschen zu absolut	5	
eine Bisschen zu kurz	5	
eine Bisschen zu groß	5	
ein bisschen zu wild	5	
ein bisschen zu voreilig	5	
ein bisschen zu unübersichtlich	5	
ein bisschen zu unheimlich	5	
ein bisschen zu ungeduldig	5	
ein bisschen zu steil	5	
ein bisschen zu schmal	5	
ein bisschen zu scharf	5	
ein bisschen zu platt	5	
ein bisschen zu persönlich	5	
ein bisschen zu militärisch	5	
ein bisschen zu langatmig	5	
ein bisschen zu kräftig	5	
ein bisschen zu komplex	5	
ein bisschen zu harmlos	5	
ein bisschen zu gewollt	5	
ein bisschen zu fett	5	
ein bisschen zu dumm	5	
ein bisschen zu breit	5	
ein bisschen zu anstrengend	5	
eins bisschen zu spät	4	
eins bisschen zu kalt	4	
einen bisschen zu langweilig	4	
einen bisschen zu lang	4	
eine bisschen zu überschwenglich	4	
eine bisschen zu übermütig	4	
eine bisschen zu übel	4	
eine bisschen zu zickig	4	
eine bisschen zu zart	4	
eine bisschen zu wässrig	4	
eine bisschen zu wählerisch	4	
eine bisschen zu weitgehend	4	
eine bisschen zu wahr	4	
eine bisschen zu unhandlich	4	
eine bisschen zu unfreundlich	4	
eine bisschen zu unauffällig	4	
eine bisschen zu toll	4	
eine bisschen zu theatralisch	4	
eine bisschen zu temperamentvoll	4	
eine bisschen zu sportlich	4	
eine bisschen zu sperrig	4	
eine bisschen zu sentimental	4	
eine bisschen zu schwülstig	4	
eine bisschen zu schwül	4	
eine bisschen zu schroff	4	
eine bisschen zu schmalzig	4	
eine bisschen zu satt	4	
eine bisschen zu sarkastisch	4	
eine bisschen zu rutschig	4	
eine bisschen zu risikoreich	4	
eine bisschen zu recht	4	
eine bisschen zu pummelig	4	
eine bisschen zu pompös	4	
eine bisschen zu penetrant	4	
eine bisschen zu pedantisch	4	
eine bisschen zu offtopic	4	
eine bisschen zu neu	4	
eine bisschen zu nervig	4	
eine bisschen zu naturwissenschaftlich	4	
eine bisschen zu nass	4	
eine bisschen zu naheliegend	4	
eine bisschen zu mässig	4	
eine bisschen zu misstrauisch	4	
eine bisschen zu minimalistisch	4	
eine bisschen zu massiv	4	
eine bisschen zu lustig	4	
eine bisschen zu linear	4	
eine bisschen zu leichtsinnig	4	
eine bisschen zu lebhaft	4	
eine bisschen zu langfristig	4	
eine bisschen zu kuschelig	4	
eine bisschen zu krawallig	4	
eine bisschen zu kompakt	4	
