Source,Target,Type,Id,Label,Weight,att1,att2,Weight_copy
274,638,Undirected,314,,12.12047,12.12047,ein Tacken,12.12047
275,638,Undirected,315,,11.54993,11.54993,ein Tacken,11.54993
276,638,Undirected,316,,10.98936,10.98936,ein Tacken,10.98936
277,638,Undirected,317,,10.53504,10.53504,ein Tacken,10.53504
278,638,Undirected,318,,8.91368,8.91368,ein Tacken,8.91368
135,638,Undirected,319,,8.50233,8.50233,ein Tacken,8.50233
279,638,Undirected,320,,8.37359,8.37359,ein Tacken,8.37359
280,638,Undirected,321,,8.19556,8.19556,ein Tacken,8.19556
281,638,Undirected,322,,8.13852,8.13852,ein Tacken,8.13852
282,638,Undirected,323,,8.04549,8.04549,ein Tacken,8.04549
126,638,Undirected,324,,7.14334,7.14334,ein Tacken,7.14334
283,638,Undirected,325,,7.03923,7.03923,ein Tacken,7.03923
284,638,Undirected,326,,6.54025,6.54025,ein Tacken,6.54025
285,638,Undirected,327,,6.39523,6.39523,ein Tacken,6.39523
286,638,Undirected,328,,6.26013,6.26013,ein Tacken,6.26013
287,638,Undirected,329,,6.01234,6.01234,ein Tacken,6.01234
288,638,Undirected,330,,5.69285,5.69285,ein Tacken,5.69285
289,638,Undirected,331,,4.23613,4.23613,ein Tacken,4.23613
290,638,Undirected,332,,4.20688,4.20688,ein Tacken,4.20688
291,638,Undirected,333,,3.85068,3.85068,ein Tacken,3.85068
292,638,Undirected,334,,3.80532,3.80532,ein Tacken,3.80532
124,638,Undirected,335,,3.22895,3.22895,ein Tacken,3.22895
293,638,Undirected,336,,2.86108,2.86108,ein Tacken,2.86108
294,638,Undirected,337,,1.582,1.582,ein Tacken,1.582
120,639,Undirected,338,,32490.320312,32490.31793,ein Tick,32490.320312
124,639,Undirected,339,,13254.30957,13254.31109,ein Tick,13254.30957
126,639,Undirected,340,,3323.787109,3323.78705,ein Tick,3323.787109
150,639,Undirected,341,,3319.156982,3319.1575,ein Tick,3319.156982
288,639,Undirected,342,,3029.187988,3029.18815,ein Tick,3029.187988
291,639,Undirected,343,,2872.930908,2872.93064,ein Tick,2872.930908
295,639,Undirected,344,,2289.927979,2289.92832,ein Tick,2289.927979
292,639,Undirected,345,,1862.369995,1862.36981,ein Tick,1862.369995
296,639,Undirected,346,,1646.688965,1646.68911,ein Tick,1646.688965
293,639,Undirected,347,,1372.92395,1372.92399,ein Tick,1372.92395
281,639,Undirected,348,,1372.470947,1372.4707,ein Tick,1372.470947
294,639,Undirected,349,,1224.770996,1224.77111,ein Tick,1224.770996
297,639,Undirected,350,,1074.68103,1074.68087,ein Tick,1074.68103
275,639,Undirected,351,,1062.733032,1062.73293,ein Tick,1062.733032
298,639,Undirected,352,,947.296204,947.29621,ein Tick,947.296204
299,639,Undirected,353,,934.854614,934.85461,ein Tick,934.854614
285,639,Undirected,354,,862.316223,862.31619,ein Tick,862.316223
300,639,Undirected,355,,807.933899,807.93389,ein Tick,807.933899
301,639,Undirected,356,,722.330872,722.33091,ein Tick,722.330872
